source	target	weight	type	network_type
Abramis brama	Anguilla anguilla	0.0		Acute
Abramis brama	Micropterus salmoides	0.0		Acute
Abramis brama	Oncorhynchus mykiss	0.0		Acute
Abramis brama	Salmo salar	0.0		Acute
Abramis brama	Salmo trutta	0.0		Acute
Acartia clausi	Pandalus montagui	0.0		Acute
Acartia clausi	Salmo trutta	0.0		Acute
Acartia hudsonica	Gadus morhua	0.0		Acute
Acartia tonsa	Gadus morhua	0.0		Acute
Algae	Danio rerio	0.0		Acute
Alosa pseudoharengus	Anguilla anguilla	0.0		Acute
Alosa pseudoharengus	Gadus morhua	0.0		Acute
Alosa pseudoharengus	Oncorhynchus mykiss	0.0		Acute
Alosa pseudoharengus	Oncorhynchus tshawytscha	0.0		Acute
Alosa pseudoharengus	Salmo salar	0.0		Acute
Ameiurus melas	Micropterus salmoides	0.0		Acute
Ameiurus nebulosus	Micropterus salmoides	0.0		Acute
Ammodytes hexapterus	Oncorhynchus gorbuscha	0.0		Acute
Ammodytes hexapterus	Oncorhynchus mykiss	0.0		Acute
Ammodytes hexapterus	Oncorhynchus tshawytscha	0.0		Acute
Ammodytes hexapterus	Salmo salar	0.0		Acute
Amphipoda	Anguilla anguilla	0.0		Acute
Amphipoda	Chimaera monstrosa	0.0		Acute
Amphipoda	Cyprinus carpio	0.0		Acute
Amphipoda	Dicentrarchus	0.0		Acute
Amphipoda	Gadus morhua	0.0		Acute
Amphipoda	Homarus americanus	0.0		Acute
Amphipoda	Ictalurus punctatus	0.0		Acute
Amphipoda	Lateolabrax japonicus	0.0		Acute
Amphipoda	Lepomis macrochirus	0.0		Acute
Amphipoda	Micropterus salmoides	0.0		Acute
Amphipoda	Oncorhynchus gorbuscha	0.0		Acute
Amphipoda	Oncorhynchus mykiss	0.0		Acute
Amphipoda	Oncorhynchus tshawytscha	0.0		Acute
Amphipoda	Pimephales promelas	0.0		Acute
Amphipoda	Rhamdia quelen	0.0		Acute
Amphipoda	Salmo salar	0.0		Acute
Amphipoda	Salmo trutta	0.0		Acute
Amphipoda	Sparus aurata	0.0		Acute
Amphiura filiformis	Gadus morhua	0.0		Acute
Anguilla anguilla	Gadus morhua	0.0		Acute
Anguilla anguilla	Micropterus salmoides	0.0		Acute
Anguilla anguilla	Oncorhynchus mykiss	0.0		Acute
Anguilla anguilla	Salmo salar	0.0		Acute
Anguilla anguilla	Salmo trutta	0.0		Acute
Anisoptera	Clarias gariepinus	0.0		Acute
Anisoptera	Cyprinus carpio	0.0		Acute
Anisoptera	Lepomis macrochirus	0.0		Acute
Anisoptera	Micropterus salmoides	0.0		Acute
Anisus vortex	Carassius carassius	0.0		Acute
Anisus vortex	Salmo trutta	0.0		Acute
Ankistrodesmus falcatus	Daphnia magna	0.0		Acute
Ankistrodesmus falcatus	Oreochromis niloticus	0.0		Acute
Annelida	Anguilla anguilla	0.0		Acute
Annelida	Carassius auratus	0.0		Acute
Annelida	Carassius carassius	0.0		Acute
Annelida	Channa striata	0.0		Acute
Annelida	Cyprinus carpio	0.0		Acute
Annelida	Gadus morhua	0.0		Acute
Annelida	Gambusia holbrooki	0.0		Acute
Annelida	Oncorhynchus gorbuscha	0.0		Acute
Annelida	Oncorhynchus mykiss	0.0		Acute
Annelida	Pimephales promelas	0.0		Acute
Annelida	Salmo salar	0.0		Acute
Annelida	Salmo trutta	0.0		Acute
Annelida	Sparus aurata	0.0		Acute
Anura	Channa striata	0.0		Acute
Anura	Lates calcarifer	0.0		Acute
Anura	Lithobates catesbeianus	0.0		Acute
Anura	Micropterus salmoides	0.0		Acute
Anura	Oncorhynchus mykiss	0.0		Acute
Anura	Salmo trutta	0.0		Acute
Aplexa hypnorum	Carassius carassius	0.0		Acute
Arenicola marina	Anguilla anguilla	0.0		Acute
Arenicola marina	Dicentrarchus labrax	0.0		Acute
Artemia franciscana	Danio rerio	0.0		Acute
Artemia franciscana	Poecilia reticulata	0.0		Acute
Artemia salina	Danio rerio	0.0		Acute
Artemia salina	Poecilia reticulata	0.0		Acute
Arthropoda	Acipenser ruthenus	0.0		Acute
Arthropoda	Anguilla anguilla	0.0		Acute
Arthropoda	Carassius auratus	0.0		Acute
Arthropoda	Channa striata	0.0		Acute
Arthropoda	Cyprinus carpio	0.0		Acute
Arthropoda	Gadus morhua	0.0		Acute
Arthropoda	Lepomis macrochirus	0.0		Acute
Arthropoda	Micropterus salmoides	0.0		Acute
Arthropoda	Oncorhynchus tshawytscha	0.0		Acute
Arthropoda	Salmo trutta	0.0		Acute
Arthropoda	Seriola dumerili	0.0		Acute
Asellus aquaticus	Anguilla anguilla	0.0		Acute
Asellus aquaticus	Salmo salar	0.0		Acute
Asellus aquaticus	Salmo trutta	0.0		Acute
Bacillariophyceae	Carassius auratus	0.0		Acute
Bacillariophyceae	Daphnia magna	0.0		Acute
Bacillariophyceae	Gadus morhua	0.0		Acute
Bacillariophyceae	Labeo rohita	0.0		Acute
Bacillariophyceae	Oreochromis niloticus	0.0		Acute
Bacillariophyceae	Penaeus vannamei	0.0		Acute
Bacillariophyceae	Salmo salar	0.0		Acute
Bacillariophyceae	Trichopodus pectoralis	0.0		Acute
Bacillariophyta	Oreochromis niloticus	0.0		Acute
Bacillariophyta	Poecilia reticulata	0.0		Acute
Baetis rhodani	Anguilla anguilla	0.0		Acute
Baetis rhodani	Carassius auratus	0.0		Acute
Baetis rhodani	Carassius carassius	0.0		Acute
Baetis rhodani	Cyprinus carpio	0.0		Acute
Baetis rhodani	Oncorhynchus mykiss	0.0		Acute
Baetis rhodani	Salmo salar	0.0		Acute
Baetis rhodani	Salmo trutta	0.0		Acute
Bosmina longirostris	Gadus morhua	0.0		Acute
Bosmina longirostris	Lepomis macrochirus	0.0		Acute
Bosmina longirostris	Pimephales promelas	0.0		Acute
Brachionus calyciflorus	Oreochromis niloticus	0.0		Acute
Bufo bufo	Astacus leptodactylus	0.0		Acute
Bufo bufo	Cyprinus carpio	0.0		Acute
Bufo bufo	Procambarus clarkii	0.0		Acute
Caenis horaria	Anguilla anguilla	0.0		Acute
Caenis horaria	Carassius auratus	0.0		Acute
Caenis horaria	Carassius carassius	0.0		Acute
Caenis horaria	Cyprinus carpio	0.0		Acute
Caenis horaria	Micropterus salmoides	0.0		Acute
Caenis horaria	Oncorhynchus mykiss	0.0		Acute
Caenis horaria	Salmo salar	0.0		Acute
Caenis horaria	Salmo trutta	0.0		Acute
Callinectes sapidus	Micropterus salmoides	0.0		Acute
Carassius auratus	Anguilla anguilla	0.0		Acute
Carassius auratus	Lepomis macrochirus	0.0		Acute
Carassius auratus	Micropterus salmoides	0.0		Acute
Carassius auratus	Oncorhynchus mykiss	0.0		Acute
Carassius auratus	Salmo salar	0.0		Acute
Carassius auratus	Salmo trutta	0.0		Acute
Carassius carassius	Anguilla anguilla	0.0		Acute
Carassius carassius	Micropterus salmoides	0.0		Acute
Carassius carassius	Oncorhynchus mykiss	0.0		Acute
Carassius carassius	Salmo salar	0.0		Acute
Carassius carassius	Salmo trutta	0.0		Acute
Carcinus maenas	Anguilla anguilla	0.0		Acute
Carcinus maenas	Dicentrarchus labrax	0.0		Acute
Carcinus maenas	Gadus morhua	0.0		Acute
Carcinus maenas	Homarus americanus	0.0		Acute
Catostomus latipinnis	Ictalurus punctatus	0.0		Acute
Catostomus latipinnis	Oncorhynchus mykiss	0.0		Acute
Centrarchidae	Micropterus salmoides	0.0		Acute
Cerastoderma edule	Anguilla anguilla	0.0		Acute
Cerastoderma edule	Gadus morhua	0.0		Acute
Ceratophyllum demersum	Ctenopharyngodon idella	0.0		Acute
Ceriodaphnia reticulata	Gambusia holbrooki	0.0		Acute
Chaetoceros calcitrans	Perna canaliculus	0.0		Acute
Chaetognatha	Anguilla anguilla	0.0		Acute
Chaetognatha	Gadus morhua	0.0		Acute
Chaetognatha	Oncorhynchus gorbuscha	0.0		Acute
Chaetognatha	Oncorhynchus tshawytscha	0.0		Acute
Chanos chanos	Clarias gariepinus	0.0		Acute
Chanos chanos	Epinephelus tauvina	0.0		Acute
Chanos chanos	Lates calcarifer	0.0		Acute
Chaoborus punctipennis	Micropterus salmoides	0.0		Acute
Cherax destructor	Oncorhynchus mykiss	0.0		Acute
Cherax quadricarinatus	Channa striata	0.0		Acute
Cherax quadricarinatus	Lates calcarifer	0.0		Acute
Chironomidae	Acipenser baerii	0.0		Acute
Chironomidae	Acipenser ruthenus	0.0		Acute
Chironomidae	Anguilla anguilla	0.0		Acute
Chironomidae	Carassius auratus	0.0		Acute
Chironomidae	Carassius carassius	0.0		Acute
Chironomidae	Channa striata	0.0		Acute
Chironomidae	Ctenopharyngodon idella	0.0		Acute
Chironomidae	Cyprinus carpio	0.0		Acute
Chironomidae	Gambusia holbrooki	0.0		Acute
Chironomidae	Ictalurus punctatus	0.0		Acute
Chironomidae	Lateolabrax japonicus	0.0		Acute
Chironomidae	Lepomis macrochirus	0.0		Acute
Chironomidae	Micropterus salmoides	0.0		Acute
Chironomidae	Monopterus albus	0.0		Acute
Chironomidae	Oncorhynchus aguabonita	0.0		Acute
Chironomidae	Oncorhynchus gorbuscha	0.0		Acute
Chironomidae	Oncorhynchus mykiss	0.0		Acute
Chironomidae	Oncorhynchus tshawytscha	0.0		Acute
Chironomidae	Oreochromis niloticus	0.0		Acute
Chironomidae	Palaemon elegans	0.0		Acute
Chironomidae	Pimephales promelas	0.0		Acute
Chironomidae	Poecilia reticulata	0.0		Acute
Chironomidae	Procambarus clarkii	0.0		Acute
Chironomidae	Salmo salar	0.0		Acute
Chironomidae	Salmo trutta	0.0		Acute
Chironomus luridus	Anguilla anguilla	0.0		Acute
Chironomus luridus	Carassius auratus	0.0		Acute
Chironomus luridus	Carassius carassius	0.0		Acute
Chironomus luridus	Cyprinus carpio	0.0		Acute
Chironomus luridus	Micropterus salmoides	0.0		Acute
Chironomus luridus	Salmo trutta	0.0		Acute
Chironomus plumosus	Anguilla anguilla	0.0		Acute
Chironomus plumosus	Carassius auratus	0.0		Acute
Chironomus plumosus	Carassius carassius	0.0		Acute
Chironomus plumosus	Cyprinus carpio	0.0		Acute
Chironomus plumosus	Micropterus salmoides	0.0		Acute
Chironomus plumosus	Salmo trutta	0.0		Acute
Chironomus riparius	Anguilla anguilla	0.0		Acute
Chironomus riparius	Carassius auratus	0.0		Acute
Chironomus riparius	Carassius carassius	0.0		Acute
Chironomus riparius	Cyprinus carpio	0.0		Acute
Chironomus riparius	Micropterus salmoides	0.0		Acute
Chironomus riparius	Salmo trutta	0.0		Acute
Chironomus sp.	Clarias gariepinus	0.0		Acute
Chironomus tentans	Anguilla anguilla	0.0		Acute
Chironomus tentans	Carassius auratus	0.0		Acute
Chironomus tentans	Carassius carassius	0.0		Acute
Chironomus tentans	Ctenopharyngodon idella	0.0		Acute
Chironomus tentans	Cyprinus carpio	0.0		Acute
Chironomus tentans	Micropterus salmoides	0.0		Acute
Chironomus tentans	Salmo trutta	0.0		Acute
Chlamydomonas reinhardtii	Daphnia magna	0.0		Acute
Chlorella vulgaris	Daphnia magna	0.0		Acute
Chlorella vulgaris	Micropterus salmoides	0.0		Acute
Chlorophyta	Carassius auratus	0.0		Acute
Chlorophyta	Clarias gariepinus	0.0		Acute
Chlorophyta	Cyprinus carpio	0.0		Acute
Chlorophyta	Daphnia magna	0.0		Acute
Chlorophyta	Gadus morhua	0.0		Acute
Chlorophyta	Homarus americanus	0.0		Acute
Chlorophyta	Oreochromis niloticus	0.0		Acute
Chlorophyta	Pimephales promelas	0.0		Acute
Chlorophyta	Salmo salar	0.0		Acute
Chlorophyta	Sparus aurata	0.0		Acute
Chlorophyta	Trichopodus pectoralis	0.0		Acute
Cladocera	Carassius auratus	0.0		Acute
Cladocera	Carassius carassius	0.0		Acute
Cladocera	Clarias gariepinus	0.0		Acute
Cladocera	Danio rerio	0.0		Acute
Cladocera	Gadus morhua	0.0		Acute
Cladocera	Gambusia holbrooki	0.0		Acute
Cladocera	Lepomis macrochirus	0.0		Acute
Cladocera	Micropterus salmoides	0.0		Acute
Cladocera	Oncorhynchus tshawytscha	0.0		Acute
Cloeon dipterum	Anguilla anguilla	0.0		Acute
Cloeon dipterum	Carassius auratus	0.0		Acute
Cloeon dipterum	Carassius carassius	0.0		Acute
Cloeon dipterum	Cyprinus carpio	0.0		Acute
Cloeon dipterum	Oncorhynchus mykiss	0.0		Acute
Cloeon dipterum	Salmo salar	0.0		Acute
Cloeon dipterum	Salmo trutta	0.0		Acute
Clupea harengus	Anguilla anguilla	0.0		Acute
Clupea harengus	Gadus morhua	0.0		Acute
Clupea harengus	Gadus morhua callarias	0.0		Acute
Clupea harengus	Oncorhynchus tshawytscha	0.0		Acute
Clupea harengus	Salmo salar	0.0		Acute
Clupea harengus	Salmo trutta	0.0		Acute
Clupea pallasii	Oncorhynchus gorbuscha	0.0		Acute
Clupea pallasii	Oncorhynchus tshawytscha	0.0		Acute
Coenagrionidae	Anguilla anguilla	0.0		Acute
Coenagrionidae	Carassius auratus	0.0		Acute
Coenagrionidae	Carassius carassius	0.0		Acute
Coenagrionidae	Cyprinus carpio	0.0		Acute
Coenagrionidae	Oncorhynchus mykiss	0.0		Acute
Coenagrionidae	Salmo salar	0.0		Acute
Coenagrionidae	Salmo trutta	0.0		Acute
Coleoptera	Anguilla anguilla	0.0		Acute
Coleoptera	Danio rerio	0.0		Acute
Coleoptera	Ictalurus punctatus	0.0		Acute
Coleoptera	Lates calcarifer	0.0		Acute
Coleoptera	Lepomis macrochirus	0.0		Acute
Coleoptera	Lithobates catesbeianus	0.0		Acute
Coleoptera	Oncorhynchus mykiss	0.0		Acute
Coleoptera	Rhamdia quelen	0.0		Acute
Coleoptera	Salmo salar	0.0		Acute
Coleoptera	Salmo trutta	0.0		Acute
Corbicula fluminea	Ictalurus punctatus	0.0		Acute
Corbicula fluminea	Lepomis macrochirus	0.0		Acute
Coregonus albula	Salmo trutta	0.0		Acute
Coregonus clupeaformis	Micropterus salmoides	0.0		Acute
Corixa punctata	Anguilla anguilla	0.0		Acute
Corixa punctata	Carassius auratus	0.0		Acute
Corixa punctata	Carassius carassius	0.0		Acute
Corixa punctata	Cyprinus carpio	0.0		Acute
Corixa punctata	Salmo trutta	0.0		Acute
Corophium volutator	Anguilla anguilla	0.0		Acute
Corophium volutator	Salmo trutta	0.0		Acute
Crangon crangon	Anguilla anguilla	0.0		Acute
Crangon crangon	Dicentrarchus labrax	0.0		Acute
Crangon crangon	Gadus morhua	0.0		Acute
Crangon crangon	Salmo salar	0.0		Acute
Crangon crangon	Salmo trutta	0.0		Acute
Crangon septemspinosa	Gadus morhua	0.0		Acute
Craterocephalus stercusmuscarum	Lates calcarifer	0.0		Acute
Crustacea	Acipenser baerii	0.0		Acute
Crustacea	Acipenser ruthenus	0.0		Acute
Crustacea	Anguilla anguilla	0.0		Acute
Crustacea	Anguilla japonica	0.0		Acute
Crustacea	Carassius auratus	0.0		Acute
Crustacea	Channa striata	0.0		Acute
Crustacea	Chimaera monstrosa	0.0		Acute
Crustacea	Cirrhinus cirrhosus	0.0		Acute
Crustacea	Clarias gariepinus	0.0		Acute
Crustacea	Cyprinus carpio	0.0		Acute
Crustacea	Danio rerio	0.0		Acute
Crustacea	Dicentrarchus	0.0		Acute
Crustacea	Dicentrarchus labrax	0.0		Acute
Crustacea	Epinephelus coioides	0.0		Acute
Crustacea	Epinephelus flavocaeruleus	0.0		Acute
Crustacea	Epinephelus malabaricus	0.0		Acute
Crustacea	Epinephelus tauvina	0.0		Acute
Crustacea	Gadus morhua	0.0		Acute
Crustacea	Gambusia holbrooki	0.0		Acute
Crustacea	Homarus americanus	0.0		Acute
Crustacea	Ictalurus punctatus	0.0		Acute
Crustacea	Larimichthys crocea	0.0		Acute
Crustacea	Lateolabrax japonicus	0.0		Acute
Crustacea	Lates calcarifer	0.0		Acute
Crustacea	Lepomis macrochirus	0.0		Acute
Crustacea	Lithobates catesbeianus	0.0		Acute
Crustacea	Micropterus salmoides	0.0		Acute
Crustacea	Monopterus albus	0.0		Acute
Crustacea	Mylopharyngodon piceus	0.0		Acute
Crustacea	Oncorhynchus aguabonita	0.0		Acute
Crustacea	Oncorhynchus gorbuscha	0.0		Acute
Crustacea	Oncorhynchus mykiss	0.0		Acute
Crustacea	Oncorhynchus tshawytscha	0.0		Acute
Crustacea	Oreochromis niloticus	0.0		Acute
Crustacea	Pagrus auratus	0.0		Acute
Crustacea	Palaemon elegans	0.0		Acute
Crustacea	Pandalus borealis	0.0		Acute
Crustacea	Pangasianodon hypophthalmus	0.0		Acute
Crustacea	Pangasius pangasius	0.0		Acute
Crustacea	Paracentrotus lividus	0.0		Acute
Crustacea	Paralichthys olivaceus	0.0		Acute
Crustacea	Penaeus monodon	0.0		Acute
Crustacea	Pimephales promelas	0.0		Acute
Crustacea	Rhamdia quelen	0.0		Acute
Crustacea	Salmo salar	0.0		Acute
Crustacea	Salmo trutta	0.0		Acute
Crustacea	Seriola dumerili	0.0		Acute
Crustacea	Seriola lalandi	0.0		Acute
Crustacea	Seriola zonata	0.0		Acute
Crustacea	Sparus aurata	0.0		Acute
Crustacea	Trachinotus ovatus	0.0		Acute
Crustacea	Trichopodus pectoralis	0.0		Acute
Ctenopharyngodon idella	Anguilla anguilla	0.0		Acute
Ctenopharyngodon idella	Micropterus salmoides	0.0		Acute
Ctenopharyngodon idella	Oncorhynchus mykiss	0.0		Acute
Ctenopharyngodon idella	Salmo salar	0.0		Acute
Ctenopharyngodon idella	Salmo trutta	0.0		Acute
Ctenophora	Gadus morhua	0.0		Acute
Ctenophora	Oncorhynchus tshawytscha	0.0		Acute
Ctenophora	Salmo salar	0.0		Acute
Cyclopoida	Carassius auratus	0.0		Acute
Cyclopoida	Clarias gariepinus	0.0		Acute
Cyclopoida	Dicentrarchus labrax	0.0		Acute
Cyclopoida	Lepomis macrochirus	0.0		Acute
Cyclopoida	Micropterus salmoides	0.0		Acute
Cyclopoida	Oncorhynchus aguabonita	0.0		Acute
Cyclopoida	Oncorhynchus mykiss	0.0		Acute
Cyclopoida	Salmo trutta	0.0		Acute
Cyclopoida	Sparus aurata	0.0		Acute
Cymatogaster aggregata	Oncorhynchus tshawytscha	0.0		Acute
Cynoglossus joyneri	Paralichthys olivaceus	0.0		Acute
Cyprinella lutrensis	Micropterus salmoides	0.0		Acute
Cyprinus carpio	Anguilla anguilla	0.0		Acute
Cyprinus carpio	Channa striata	0.0		Acute
Cyprinus carpio	Ictalurus punctatus	0.0		Acute
Cyprinus carpio	Lates calcarifer	0.0		Acute
Cyprinus carpio	Lepomis macrochirus	0.0		Acute
Cyprinus carpio	Micropterus salmoides	0.0		Acute
Cyprinus carpio	Oncorhynchus mykiss	0.0		Acute
Cyprinus carpio	Salmo salar	0.0		Acute
Cyprinus carpio	Salmo trutta	0.0		Acute
Daphnia lumholtzi	Gadus morhua	0.0		Acute
Daphnia lumholtzi	Lepomis macrochirus	0.0		Acute
Daphnia magna	Carassius carassius	0.0		Acute
Daphnia magna	Danio rerio	0.0		Acute
Daphnia pulex	Gadus morhua	0.0		Acute
Daphnia pulex	Lepomis macrochirus	0.0		Acute
Daphnia pulex	Micropterus salmoides	0.0		Acute
Daphnia rosea	Oncorhynchus aguabonita	0.0		Acute
Daphnia rosea	Oncorhynchus mykiss	0.0		Acute
Daphnia rosea	Salmo trutta	0.0		Acute
Decapoda	Anguilla anguilla	0.0		Acute
Decapoda	Channa striata	0.0		Acute
Decapoda	Dicentrarchus labrax	0.0		Acute
Decapoda	Epinephelus coioides	0.0		Acute
Decapoda	Epinephelus malabaricus	0.0		Acute
Decapoda	Gadus morhua	0.0		Acute
Decapoda	Homarus americanus	0.0		Acute
Decapoda	Ictalurus punctatus	0.0		Acute
Decapoda	Lateolabrax japonicus	0.0		Acute
Decapoda	Lates calcarifer	0.0		Acute
Decapoda	Micropterus salmoides	0.0		Acute
Decapoda	Oncorhynchus gorbuscha	0.0		Acute
Decapoda	Oncorhynchus tshawytscha	0.0		Acute
Decapoda	Salmo salar	0.0		Acute
Decapoda	Trachinotus ovatus	0.0		Acute
Diacyclops thomasi	Gadus morhua	0.0		Acute
Diamesa zernyi	Salmo trutta	0.0		Acute
Diaphanosoma brachyurum	Gadus morhua	0.0		Acute
Diaphanosoma brachyurum	Micropterus salmoides	0.0		Acute
Dreissena polymorpha	Anguilla anguilla	0.0		Acute
Dreissena polymorpha	Cyprinus carpio	0.0		Acute
Ecdyonurus venosus	Anguilla anguilla	0.0		Acute
Ecdyonurus venosus	Carassius auratus	0.0		Acute
Ecdyonurus venosus	Carassius carassius	0.0		Acute
Ecdyonurus venosus	Cyprinus carpio	0.0		Acute
Ecdyonurus venosus	Oncorhynchus mykiss	0.0		Acute
Ecdyonurus venosus	Salmo salar	0.0		Acute
Ecdyonurus venosus	Salmo trutta	0.0		Acute
Elodea canadensis	Ctenopharyngodon idella	0.0		Acute
Engraulis mordax	Oncorhynchus tshawytscha	0.0		Acute
Engraulis mordax	Seriola lalandi	0.0		Acute
Ephemeroptera	Acipenser baerii	0.0		Acute
Ephemeroptera	Acipenser ruthenus	0.0		Acute
Ephemeroptera	Anguilla anguilla	0.0		Acute
Ephemeroptera	Gambusia holbrooki	0.0		Acute
Ephemeroptera	Ictalurus punctatus	0.0		Acute
Ephemeroptera	Lepomis macrochirus	0.0		Acute
Ephemeroptera	Micropterus salmoides	0.0		Acute
Ephemeroptera	Oncorhynchus mykiss	0.0		Acute
Ephemeroptera	Oncorhynchus tshawytscha	0.0		Acute
Ephemeroptera	Oreochromis niloticus	0.0		Acute
Ephemeroptera	Poecilia reticulata	0.0		Acute
Ephemeroptera	Procambarus clarkii	0.0		Acute
Ephemeroptera	Rhamdia quelen	0.0		Acute
Ephemeroptera	Salmo salar	0.0		Acute
Ephemeroptera	Salmo trutta	0.0		Acute
Erpobdella octoculata	Anguilla anguilla	0.0		Acute
Erpobdella octoculata	Salmo salar	0.0		Acute
Erpobdella octoculata	Salmo trutta	0.0		Acute
Esox lucius	Anguilla anguilla	0.0		Acute
Esox lucius	Micropterus salmoides	0.0		Acute
Esox lucius	Oncorhynchus mykiss	0.0		Acute
Esox lucius	Salmo salar	0.0		Acute
Esox lucius	Salmo trutta	0.0		Acute
Etheostoma nigrum	Salmo trutta	0.0		Acute
Euphausia pacifica	Oncorhynchus tshawytscha	0.0		Acute
Eurytemora affinis	Gadus morhua	0.0		Acute
Faxonius rusticus	Lepomis macrochirus	0.0		Acute
Filinia longiseta	Oreochromis niloticus	0.0		Acute
Fucus serratus	Palaemon elegans	0.0		Acute
Fucus serratus	Paracentrotus lividus	0.0		Acute
Fundulus majalis	Anguilla anguilla	0.0		Acute
Galaxias maculatus	Oncorhynchus mykiss	0.0		Acute
Gambusia affinis	Micropterus salmoides	0.0		Acute
Gambusia affinis	Oreochromis niloticus	0.0		Acute
Gambusia holbrooki	Micropterus salmoides	0.0		Acute
Gammarus fasciatus	Lepomis macrochirus	0.0		Acute
Gammarus fossarum	Anguilla anguilla	0.0		Acute
Gammarus fossarum	Carassius auratus	0.0		Acute
Gammarus fossarum	Carassius carassius	0.0		Acute
Gammarus fossarum	Cyprinus carpio	0.0		Acute
Gammarus fossarum	Micropterus salmoides	0.0		Acute
Gammarus fossarum	Oncorhynchus mykiss	0.0		Acute
Gammarus fossarum	Salmo salar	0.0		Acute
Gammarus fossarum	Salmo trutta	0.0		Acute
Gammarus lacustris	Anguilla anguilla	0.0		Acute
Gammarus lacustris	Carassius auratus	0.0		Acute
Gammarus lacustris	Carassius carassius	0.0		Acute
Gammarus lacustris	Cyprinus carpio	0.0		Acute
Gammarus lacustris	Micropterus salmoides	0.0		Acute
Gammarus lacustris	Oncorhynchus mykiss	0.0		Acute
Gammarus lacustris	Salmo salar	0.0		Acute
Gammarus lacustris	Salmo trutta	0.0		Acute
Gammarus pulex	Anguilla anguilla	0.0		Acute
Gammarus pulex	Carassius auratus	0.0		Acute
Gammarus pulex	Carassius carassius	0.0		Acute
Gammarus pulex	Cyprinus carpio	0.0		Acute
Gammarus pulex	Micropterus salmoides	0.0		Acute
Gammarus pulex	Oncorhynchus mykiss	0.0		Acute
Gammarus pulex	Salmo salar	0.0		Acute
Gammarus pulex	Salmo trutta	0.0		Acute
Gasterosteus aculeatus	Anguilla anguilla	0.0		Acute
Gasterosteus aculeatus	Gadus morhua	0.0		Acute
Gasterosteus aculeatus	Micropterus salmoides	0.0		Acute
Gasterosteus aculeatus	Oncorhynchus mykiss	0.0		Acute
Gasterosteus aculeatus	Oncorhynchus tshawytscha	0.0		Acute
Gasterosteus aculeatus	Salmo salar	0.0		Acute
Gasterosteus aculeatus	Salmo trutta	0.0		Acute
Glossiphonia complanata	Salmo salar	0.0		Acute
Glossiphonia complanata	Salmo trutta	0.0		Acute
Glyptotendipes paripes	Anguilla anguilla	0.0		Acute
Glyptotendipes paripes	Carassius auratus	0.0		Acute
Glyptotendipes paripes	Carassius carassius	0.0		Acute
Glyptotendipes paripes	Cyprinus carpio	0.0		Acute
Glyptotendipes paripes	Micropterus salmoides	0.0		Acute
Glyptotendipes paripes	Salmo trutta	0.0		Acute
Gobiomorphus cotidianus	Oncorhynchus mykiss	0.0		Acute
Gyraulus parvus	Carassius carassius	0.0		Acute
Hediste diversicolor	Anguilla anguilla	0.0		Acute
Hediste diversicolor	Dicentrarchus	0.0		Acute
Hediste diversicolor	Gadus morhua	0.0		Acute
Hediste diversicolor	Palaemon elegans	0.0		Acute
Hediste diversicolor	Salmo trutta	0.0		Acute
Heptageniidae	Anguilla anguilla	0.0		Acute
Heptageniidae	Carassius auratus	0.0		Acute
Heptageniidae	Carassius carassius	0.0		Acute
Heptageniidae	Cyprinus carpio	0.0		Acute
Heptageniidae	Oncorhynchus mykiss	0.0		Acute
Heptageniidae	Salmo salar	0.0		Acute
Heptageniidae	Salmo trutta	0.0		Acute
Homarus americanus	Gadus morhua	0.0		Acute
Homarus gammarus	Homarus americanus	0.0		Acute
Hyalella azteca	Ictalurus punctatus	0.0		Acute
Hyalella azteca	Lepomis macrochirus	0.0		Acute
Hyalella azteca	Micropterus salmoides	0.0		Acute
Hydrilla verticillata	Ctenopharyngodon idella	0.0		Acute
Hydropsyche angustipennis	Anguilla anguilla	0.0		Acute
Hydropsyche angustipennis	Carassius auratus	0.0		Acute
Hydropsyche angustipennis	Carassius carassius	0.0		Acute
Hydropsyche angustipennis	Cyprinus carpio	0.0		Acute
Hydropsyche angustipennis	Oncorhynchus mykiss	0.0		Acute
Hydropsyche angustipennis	Salmo salar	0.0		Acute
Hydropsyche angustipennis	Salmo trutta	0.0		Acute
Hydropsychidae	Oncorhynchus mykiss	0.0		Acute
Hydropsychidae	Salmo trutta	0.0		Acute
Hypophthalmichthys molitrix	Anguilla anguilla	0.0		Acute
Hypophthalmichthys molitrix	Micropterus salmoides	0.0		Acute
Hypophthalmichthys molitrix	Oncorhynchus mykiss	0.0		Acute
Hypophthalmichthys molitrix	Salmo salar	0.0		Acute
Hypophthalmichthys molitrix	Salmo trutta	0.0		Acute
Hypophthalmichthys nobilis	Anguilla anguilla	0.0		Acute
Hypophthalmichthys nobilis	Micropterus salmoides	0.0		Acute
Hypophthalmichthys nobilis	Oncorhynchus mykiss	0.0		Acute
Hypophthalmichthys nobilis	Salmo salar	0.0		Acute
Hypophthalmichthys nobilis	Salmo trutta	0.0		Acute
Idotea balthica	Gadus morhua	0.0		Acute
Idotea balthica	Salmo trutta	0.0		Acute
Insecta	Acipenser baerii	0.0		Acute
Insecta	Acipenser ruthenus	0.0		Acute
Insecta	Anguilla anguilla	0.0		Acute
Insecta	Anguilla japonica	0.0		Acute
Insecta	Carassius auratus	0.0		Acute
Insecta	Channa striata	0.0		Acute
Insecta	Chimaera monstrosa	0.0		Acute
Insecta	Clarias gariepinus	0.0		Acute
